8.09,48.88,37.5
9.39,48.66,37.04
13.16,83.18,12.4
10.69,82.81,1.47
57.4,36.12,24.83
8.23,46.76,38.87
103.58,83.85,46.14
14.09,81.63,59.74
58,125.42,33.96
102.04,84.72,46.28
125.23,63.07,40.54
155.39,47.6,23.47
7.23,46.19,37.82
12.29,43.87,36.41
15.96,78.82,58.99
138.79,137.2,7.28
60.52,124.08,31.53
14.15,79.83,359.67
139.57,136.9,8.65
8.89,44.57,39.32
106.78,85.83,56.48
9.37,46.27,38.29
59.74,125.47,33.53
60.1,126.45,34.02
57.03,127.21,34.43
9.05,48.35,37.96
156.72,45.44,23.85
57.25,127.05,34.19
139.75,136.01,12.66
135.87,135.75,19.23
137.86,135.05,11.54
154.56,47.11,14.55
153.28,46.78,20.33
5.48,47.82,39.84
163,51.02,8.49
63.6,35.98,32
16.51,81.11,59.56
0.54,40.14,46.78
16.74,79.44,59.03
10.52,45.32,36.61
161.36,49.93,9.79
58.76,35.7,33.86
9.55,47.16,37.27
160.56,49.99,11.88
58.06,126.93,34.67
157.72,46.64,22.57
173.65,136.4,12.28
103.4,84.06,45.93
58.41,123.97,30.72
162.34,52.45,9.9
66.06,34.29,28.42
61.02,125.08,32.34
161.93,50.7,45.11
161.8,50.96,11.21
59.08,124.22,32.15
162.41,50.96,9.74
161.64,47.06,20.15
10.23,46.55,9.42
10.73,45.79,39.54
58.45,125.99,33.45
59.14,125.56,33.98
91.84,57.93,0.28
160.64,49.78,11.3
14.68,81.59,59.05
177.51,137.05,13.1
158.59,48.54,10.81
57.54,35.71,25.19
8.61,47.9,37.31
59.85,36.22,21.82
59.16,36.11,23.38
56.71,125.79,22.63
13,80.89,0.56
103.6,83.89,46.11
153.7,47.44,24.43
58.02,124.3,31.22
19.25,134.81,6.4
159.88,49.61,10.53
16.25,80.09,58.57
62.56,36.21,32.94
106.84,86,46.9
16.22,80.5,0.42
85.75,105.03,43.06
141.41,135.7,10.37
140,135.18,9.98
10.17,47.77,7.8
58.55,124.81,33.78
91.84,57.93,0.28
140.09,136.66,10
140.67,136.97,10.78
124.66,60.67,31.99
103.55,85.43,57.71
12.2,81.65,59.93
57.76,35.16,33.39
56.95,36.78,35.2
141.03,135.32,12.9
155.52,47.87,22.59
13.3,79.45,1.57
10.79,44.46,37
107.22,85.45,52.75
64.78,32.45,20.27
15.53,79.3,0.18
93.68,57.92,57.92
14.78,79.57,60.07
106.67,86.26,54.79
105.34,85.62,46.53
62.66,36.91,32.3
57.56,126.73,34.58
137.76,135.51,10.46
102.71,84.26,57.86
156.51,47.22,10.65
8.31,46.29,38.59
58.6,34.62,34.87
7.54,46.01,37.76
124.72,63.71,39.78
103.82,84.61,46.4
11.85,81.29,10.09
57.49,124.04,30.79
11.11,44.11,37.05
107.73,87.13,54.14
15.63,79.69,0.18
16.21,78.9,359.62
141.07,136.35,9.88
10.46,44.82,37.3
91.79,58.81,59.47
141.01,136.56,10.49
103.72,84.92,56.99
137.31,134.94,9.4
157.92,46.41,10.68
60.91,36.74,21.49
13.08,82.73,0.29
13.42,80.79,0.2
155.57,48.05,21
7.4,46.8,7.81
128.09,65.54,38.04
14.44,82.48,0.84
83.27,105.27,43.3
105.13,84.35,44.3
15.31,80.2,59.29
59.38,124.86,33.15
139.43,136.03,9.39
10.5,46.41,37.84
85.11,106.42,43.94
158.61,48.27,12.48
57.57,35.92,24.93
136.27,136.36,20.13
8.28,46.44,38.35
11.47,81.64,10.54
57.29,123.68,30.07
161.15,50.27,20.72
15.54,79.13,0.22
176.71,136.69,11.38
160.11,48.48,10.98
139.76,138.01,8.33
138.76,136.98,8
161.42,47.7,20.58
11.12,45.58,36.44
59.36,125.67,32.89
159.01,47.88,10.07
174.69,136.21,11.13
62.18,35.89,32.73
91.79,60.07,0.99
139.63,136.02,10.42
11.77,84.81,12.15
13.07,83.45,10.11
104,85.26,46.51
57.9,125.14,34.35
8.27,46.76,38.61
21.38,137.48,11.18
57.46,124.1,22.08
8.42,46.42,36.53
7.49,46.63,36.48
139.86,136.26,23.37
11.34,43.39,36.5
105.97,84.7,42.99
10.81,43.23,37.52
12.34,44.38,35.84
9.74,46.55,38.3
14.62,78.8,58.69
9.17,44.89,8.4
10.7,45.41,37.61
139.39,137.05,9.08
60.18,124.93,33.06
176.5,137.34,12.09
156.09,47.26,22.97
8.2,46.64,38.8
8.07,46.51,35.61
154.52,48.18,23.78
7.36,46.32,37.18
10.65,43.4,36.51
16.94,80.52,59.36
163.13,51.1,8.72
137.62,137.97,6.25
22.76,134.55,7.95
10.23,45.34,38.73
10.42,45.05,38.16
64.11,33.4,19.24
58.58,126.01,33.44
6.8,46.68,37.44
154.89,49.66,52.78
57.09,125.04,22.19
102.8,83.97,45.86
104.26,85.4,45.67
7.86,45.71,38.56
58.7,124.78,34.6
102.72,83.58,56.33
8.23,46.7,36.86
59.69,124.23,31.77
58.39,124.12,32.19
65.9,75.71,39.61
63.03,35.26,29.64
15.49,78.45,59.17
16.93,77.08,59.69
65.63,34.44,29.39
0.08,104.12,59.55
10.32,45.41,38.77
162.25,47.58,20.66
10.81,44.45,38.38
138.39,137.07,8.45
158.36,48.98,19.89
138.25,137.55,7.7
14.98,80.69,359.74
14.24,80.53,0.15
159.29,48.1,10.35
59.86,37.22,33.89
105.59,84.31,58.09
14.58,82.39,0.06
156.9,45.22,22.89
137.2,136.89,20.75
58,126.49,22.7
58.84,35.18,35.01
102.92,83.48,46.69
172.82,135.3,11.37
59.14,124.36,31.43
139.81,137.25,8.74
15.68,80.16,59.58
9.98,44.22,39.95
57.73,123.86,32.04
105.97,84.16,44.55
13.75,79.73,59.59
139.33,138.69,8.81
58.57,125.55,33.68
141.83,136.63,11.32
123.75,59.65,33.77
13.01,83.06,11.5
58.31,125.1,22.95
138.65,136.76,22.16
8.94,46.48,36.42
58.79,124.86,33.85
9.13,45.78,38.88
103.7,84.07,46
155.14,44.63,12.65
156.44,48.35,20.77
139.51,135.94,22.76
102.35,83.89,46.58
139.31,135.65,22.84
57.46,123.48,30.58
105.77,86.03,44.45
11.63,45.82,37.98
59.45,123.47,32.36
159.83,48.11,10.41
140.78,137.16,9.1
84.41,105.16,42.3
106.93,86.43,54.32
10.47,45.25,38.43
138.62,136.91,7.73
105.36,84,56.86
9.03,46.39,38.59
58.59,125.04,33.39
141.4,137.04,11.64
13.26,84.11,10.17
58.31,125.1,22.95
59.84,123.52,33.89
8.54,47.03,39.58
103.91,83.94,46.58
13.94,81.2,1.59
61.43,35.12,30.56
139.95,137.8,8.51
14.51,79.93,0.82
139.55,137.45,9.7
58.99,123.7,31.86
104.22,85.43,44.97
9.57,44.59,38.24
138.91,136.65,19.42
8.23,43.63,38.98
66.42,35.21,16.23
137.92,136.43,6.98
159.1,48.01,11.51
140.25,135.81,11.09
138.9,135.41,11.36
58.64,35.88,23.93
57.29,124.79,35.66
21.84,41.1,27.16
11.77,80.24,10.58
7.42,46.67,38.01
139.04,138.06,7.2
87.21,104.68,41.84
140.5,136.58,8.72
59.79,123.09,33.69
177.96,140.09,12.23
16.08,78.56,359.57
161.49,50.44,9.7
57.92,124.18,30.89
16.67,79.32,10
105.9,85.16,55.33
122.17,59.41,33.28
